Edge - Vertices 	 	Weight
3379 - 280	 	 	9
4534 - 281	 	 	8
3457 - 282	 	 	11
3543 - 283	 	 	22
2538 - 284	 	 	19
45 - 285	 	 	5
1084 - 286	 	 	22
624 - 287	 	 	26
3096 - 288	 	 	17
2999 - 289	 	 	3
2836 - 290	 	 	17
1432 - 291	 	 	3
555 - 292	 	 	19
2630 - 293	 	 	14
2431 - 294	 	 	22
4268 - 295	 	 	7
908 - 296	 	 	10
1336 - 297	 	 	12
1032 - 298	 	 	7
4595 - 299	 	 	22
2919 - 300	 	 	35
4949 - 301	 	 	16
2082 - 302	 	 	44
758 - 303	 	 	32
3578 - 304	 	 	8
692 - 305	 	 	15
3890 - 306	 	 	3
2187 - 307	 	 	9
751 - 308	 	 	31
333 - 309	 	 	1
3292 - 310	 	 	41
978 - 311	 	 	31
3254 - 312	 	 	11
1822 - 313	 	 	1
4151 - 314	 	 	3
2300 - 315	 	 	3
4285 - 316	 	 	2
4433 - 317	 	 	14
3714 - 318	 	 	12
3216 - 319	 	 	4
4274 - 320	 	 	3
3791 - 321	 	 	30
3605 - 322	 	 	1
2231 - 323	 	 	32
2977 - 324	 	 	18
4614 - 325	 	 	20
535 - 326	 	 	31
884 - 327	 	 	19
3291 - 328	 	 	5
1004 - 329	 	 	26
3621 - 330	 	 	3
757 - 331	 	 	17
705 - 332	 	 	93
2511 - 333	 	 	1
268 - 334	 	 	35
2529 - 335	 	 	17
723 - 336	 	 	5
4105 - 337	 	 	4
2976 - 338	 	 	3
4409 - 339	 	 	40
3760 - 340	 	 	7
2415 - 341	 	 	25
2749 - 342	 	 	20
3052 - 343	 	 	6
2048 - 344	 	 	20
2110 - 345	 	 	8
4523 - 346	 	 	17
790 - 347	 	 	3
2545 - 348	 	 	22
2688 - 349	 	 	16
2482 - 350	 	 	5
2798 - 351	 	 	2
1328 - 352	 	 	3
1635 - 353	 	 	35
2176 - 354	 	 	34
623 - 355	 	 	1
3949 - 356	 	 	19
2108 - 357	 	 	17
1453 - 358	 	 	21
3291 - 359	 	 	42
4686 - 360	 	 	25
4854 - 361	 	 	26
3956 - 362	 	 	15
534 - 363	 	 	2
2126 - 364	 	 	57
1126 - 365	 	 	5
1235 - 366	 	 	1
4726 - 367	 	 	16
78 - 368	 	 	9
3872 - 369	 	 	12
3013 - 370	 	 	22
566 - 371	 	 	14
4924 - 372	 	 	42
4901 - 373	 	 	20
2954 - 374	 	 	24
2412 - 375	 	 	10
3167 - 376	 	 	2
386 - 377	 	 	53
907 - 378	 	 	8
2504 - 379	 	 	17
4364 - 380	 	 	26
2963 - 381	 	 	12
1693 - 382	 	 	9
2449 - 383	 	 	7
1443 - 384	 	 	22
3786 - 385	 	 	24
1837 - 386	 	 	17
359 - 387	 	 	20
4292 - 388	 	 	32
4763 - 389	 	 	22
1976 - 390	 	 	17
1518 - 391	 	 	6
333 - 392	 	 	3
2890 - 393	 	 	4
2473 - 394	 	 	3
1842 - 395	 	 	9
406 - 396	 	 	8
4888 - 397	 	 	14
1213 - 398	 	 	14
933 - 399	 	 	4
172 - 400	 	 	36
1623 - 401	 	 	10
4118 - 402	 	 	28
985 - 403	 	 	39
735 - 404	 	 	23
343 - 405	 	 	1
2045 - 406	 	 	22
1677 - 407	 	 	16
2807 - 408	 	 	5
4616 - 409	 	 	17
3849 - 410	 	 	7
245 - 411	 	 	6
1347 - 412	 	 	8
3324 - 413	 	 	8
4974 - 414	 	 	11
1949 - 415	 	 	2
3451 - 416	 	 	20
3167 - 417	 	 	3
3587 - 418	 	 	21
1907 - 419	 	 	26
1132 - 420	 	 	5
386 - 421	 	 	30
2240 - 422	 	 	27
370 - 423	 	 	17
104 - 424	 	 	20
1540 - 425	 	 	3
417 - 426	 	 	2
783 - 427	 	 	20
4274 - 428	 	 	2
2157 - 429	 	 	1
3120 - 430	 	 	26
3995 - 431	 	 	12
3606 - 432	 	 	3
500 - 433	 	 	4
3584 - 434	 	 	8
385 - 435	 	 	22
2081 - 436	 	 	32
1194 - 437	 	 	1
1878 - 438	 	 	32
913 - 439	 	 	3
1856 - 440	 	 	1
4531 - 441	 	 	28
4827 - 442	 	 	15
1687 - 443	 	 	15
766 - 444	 	 	7
994 - 445	 	 	21
351 - 446	 	 	30
1792 - 447	 	 	13
3097 - 448	 	 	44
2792 - 449	 	 	46
3512 - 450	 	 	2
1558 - 451	 	 	41
1367 - 452	 	 	12
1266 - 453	 	 	14
1959 - 454	 	 	19
3870 - 455	 	 	5
1723 - 456	 	 	10
3826 - 457	 	 	18
2749 - 458	 	 	4
4899 - 459	 	 	2
2187 - 460	 	 	8
3624 - 461	 	 	20
4006 - 462	 	 	52
3509 - 463	 	 	6
3438 - 464	 	 	28
2349 - 465	 	 	13
3078 - 466	 	 	9
2085 - 467	 	 	8
2892 - 468	 	 	19
4298 - 469	 	 	56
1634 - 470	 	 	96
1472 - 471	 	 	5
2767 - 472	 	 	23
2343 - 473	 	 	20
109 - 474	 	 	8
4982 - 475	 	 	3
3032 - 476	 	 	26
3689 - 477	 	 	21
2549 - 478	 	 	23
2796 - 479	 	 	14
2394 - 480	 	 	45
1397 - 481	 	 	18
1078 - 482	 	 	12
1463 - 483	 	 	22
4630 - 484	 	 	12
4739 - 485	 	 	18
4876 - 486	 	 	21
2669 - 487	 	 	11
2048 - 488	 	 	13
2742 - 489	 	 	3
4569 - 490	 	 	15
1009 - 491	 	 	16
1024 - 492	 	 	27
4128 - 493	 	 	32
1058 - 494	 	 	15
975 - 495	 	 	24
3861 - 496	 	 	18
3844 - 497	 	 	17
3279 - 498	 	 	10
1704 - 499	 	 	15
2080 - 500	 	 	27
17 - 501	 	 	9
614 - 502	 	 	19
2005 - 503	 	 	15
291 - 504	 	 	13
4053 - 505	 	 	11
3750 - 506	 	 	15
1835 - 507	 	 	9
3039 - 508	 	 	15
3692 - 509	 	 	33
1907 - 510	 	 	31
3199 - 511	 	 	8
1070 - 512	 	 	14
4652 - 513	 	 	18
3291 - 514	 	 	21
416 - 515	 	 	3
4708 - 516	 	 	48
2938 - 517	 	 	13
1429 - 518	 	 	13
3819 - 519	 	 	16
1235 - 520	 	 	13
3300 - 521	 	 	8
3326 - 522	 	 	8
1802 - 523	 	 	4
3865 - 524	 	 	13
2262 - 525	 	 	13
609 - 526	 	 	7
1576 - 527	 	 	19
2964 - 528	 	 	20
2456 - 529	 	 	11
137 - 530	 	 	11
1729 - 531	 	 	6
3827 - 532	 	 	10
837 - 533	 	 	8
4811 - 534	 	 	4
2776 - 535	 	 	14
3077 - 536	 	 	14
1986 - 537	 	 	10
3186 - 538	 	 	9
413 - 539	 	 	6
4405 - 540	 	 	7
356 - 541	 	 	41
1611 - 542	 	 	13
2255 - 543	 	 	24
4568 - 544	 	 	9
1740 - 545	 	 	18
4184 - 546	 	 	20
397 - 547	 	 	12
3835 - 548	 	 	13
3011 - 549	 	 	18
4362 - 550	 	 	13
3942 - 551	 	 	19
860 - 552	 	 	2
1340 - 553	 	 	14
3828 - 554	 	 	9
3535 - 555	 	 	11
1507 - 556	 	 	23
2539 - 557	 	 	17
2947 - 558	 	 	8
1262 - 559	 	 	9
279 - 560	 	 	35
1796 - 561	 	 	40
839 - 562	 	 	6
1720 - 563	 	 	19
3419 - 564	 	 	10
618 - 565	 	 	3
1351 - 566	 	 	5
4761 - 567	 	 	30
4013 - 568	 	 	32
3752 - 569	 	 	17
4233 - 570	 	 	15
2400 - 571	 	 	18
2345 - 572	 	 	11
4324 - 573	 	 	20
2605 - 574	 	 	21
1441 - 575	 	 	7
226 - 576	 	 	17
3002 - 577	 	 	4
1094 - 578	 	 	26
384 - 579	 	 	9
4504 - 580	 	 	3
4419 - 581	 	 	33
4088 - 582	 	 	3
1698 - 583	 	 	5
2342 - 584	 	 	22
177 - 585	 	 	15
2071 - 586	 	 	36
233 - 587	 	 	19
3996 - 588	 	 	8
4001 - 589	 	 	5
2572 - 590	 	 	4
3565 - 591	 	 	39
1256 - 592	 	 	20
4305 - 593	 	 	24
2445 - 594	 	 	12
4182 - 595	 	 	46
1575 - 596	 	 	45
1114 - 597	 	 	50
4799 - 598	 	 	14
616 - 599	 	 	19
697 - 600	 	 	28
687 - 601	 	 	3
4706 - 602	 	 	57
3916 - 603	 	 	58
4760 - 604	 	 	16
2506 - 605	 	 	19
1740 - 606	 	 	7
106 - 607	 	 	4
4696 - 608	 	 	12
4094 - 609	 	 	9
4902 - 610	 	 	17
2936 - 611	 	 	19
4562 - 612	 	 	20
4297 - 613	 	 	6
4137 - 614	 	 	7
4103 - 615	 	 	12
2621 - 616	 	 	38
4452 - 617	 	 	28
3904 - 618	 	 	6
2305 - 619	 	 	3
4027 - 620	 	 	6
4185 - 621	 	 	4
1888 - 622	 	 	7
117 - 623	 	 	8
721 - 624	 	 	30
1852 - 625	 	 	44
2201 - 626	 	 	5
2551 - 627	 	 	3
4401 - 628	 	 	25
4702 - 629	 	 	21
4483 - 630	 	 	22
1984 - 631	 	 	9
979 - 632	 	 	4
200 - 633	 	 	1
3535 - 634	 	 	7
2427 - 635	 	 	38
4502 - 636	 	 	16
876 - 637	 	 	11
333 - 638	 	 	12
104 - 639	 	 	34
278 - 640	 	 	16
4937 - 641	 	 	1
1812 - 642	 	 	21
667 - 643	 	 	3
1359 - 644	 	 	14
3512 - 645	 	 	29
1984 - 646	 	 	17
4138 - 647	 	 	5
1238 - 648	 	 	14
889 - 649	 	 	17
4334 - 650	 	 	32
2644 - 651	 	 	16
3448 - 652	 	 	23
1934 - 653	 	 	5
924 - 654	 	 	45
2801 - 655	 	 	9
2710 - 656	 	 	18
3465 - 657	 	 	14
1067 - 658	 	 	22
791 - 659	 	 	16
4944 - 660	 	 	10
2637 - 661	 	 	29
198 - 662	 	 	10
3828 - 663	 	 	13
638 - 664	 	 	5
4044 - 665	 	 	10
877 - 666	 	 	9
22 - 667	 	 	13
3356 - 668	 	 	29
1742 - 669	 	 	42
2510 - 670	 	 	13
3800 - 671	 	 	24
3656 - 672	 	 	3
1755 - 673	 	 	19
1242 - 674	 	 	3
3604 - 675	 	 	23
3950 - 676	 	 	1
1551 - 677	 	 	13
3261 - 678	 	 	14
3496 - 679	 	 	2
3019 - 680	 	 	10
1306 - 681	 	 	11
416 - 682	 	 	13
1761 - 683	 	 	32
1880 - 684	 	 	18
3828 - 685	 	 	15
3649 - 686	 	 	15
114 - 687	 	 	10
483 - 688	 	 	15
1671 - 689	 	 	47
549 - 690	 	 	6
4010 - 691	 	 	11
3049 - 692	 	 	6
2818 - 693	 	 	28
3431 - 694	 	 	18
4434 - 695	 	 	15
155 - 696	 	 	29
4403 - 697	 	 	13
2348 - 698	 	 	38
1777 - 699	 	 	8
3041 - 700	 	 	2
1619 - 701	 	 	9
2795 - 702	 	 	16
794 - 703	 	 	18
943 - 704	 	 	4
4965 - 705	 	 	13
2868 - 706	 	 	28
423 - 707	 	 	25
4136 - 708	 	 	26
1039 - 709	 	 	29
1382 - 710	 	 	55
2963 - 711	 	 	23
4744 - 712	 	 	14
638 - 713	 	 	3
2001 - 714	 	 	26
2915 - 715	 	 	9
3516 - 716	 	 	14
1477 - 717	 	 	2
3347 - 718	 	 	21
256 - 719	 	 	1
1163 - 720	 	 	33
50 - 721	 	 	16
1899 - 722	 	 	24
715 - 723	 	 	12
2031 - 724	 	 	25
4843 - 725	 	 	34
4800 - 726	 	 	9
4150 - 727	 	 	25
353 - 728	 	 	43
2932 - 729	 	 	16
4428 - 730	 	 	2
4790 - 731	 	 	1
1111 - 732	 	 	29
2430 - 733	 	 	2
724 - 734	 	 	45
3013 - 735	 	 	10
917 - 736	 	 	12
1005 - 737	 	 	1
3340 - 738	 	 	14
4715 - 739	 	 	3
706 - 740	 	 	30
1459 - 741	 	 	3
4245 - 742	 	 	14
2907 - 743	 	 	4
4176 - 744	 	 	2
256 - 745	 	 	15
771 - 746	 	 	4
2378 - 747	 	 	20
1414 - 748	 	 	3
4897 - 749	 	 	19
2503 - 750	 	 	24
609 - 751	 	 	17
1457 - 752	 	 	3
2471 - 753	 	 	16
1649 - 754	 	 	19
3662 - 755	 	 	3
579 - 756	 	 	20
4230 - 757	 	 	2
2392 - 758	 	 	13
1254 - 759	 	 	16
2059 - 760	 	 	5
1397 - 761	 	 	26
947 - 762	 	 	2
3741 - 763	 	 	4
2649 - 764	 	 	12
1421 - 765	 	 	11
2484 - 766	 	 	6
4373 - 767	 	 	22
2764 - 768	 	 	21
2848 - 769	 	 	11
191 - 770	 	 	1
371 - 771	 	 	5
879 - 772	 	 	17
3067 - 773	 	 	16
4031 - 774	 	 	13
3000 - 775	 	 	44
1677 - 776	 	 	8
1843 - 777	 	 	12
1536 - 778	 	 	33
1321 - 779	 	 	34
1619 - 780	 	 	51
3180 - 781	 	 	8
3621 - 782	 	 	42
2624 - 783	 	 	2
2431 - 784	 	 	12
1746 - 785	 	 	24
481 - 786	 	 	14
3018 - 787	 	 	9
611 - 788	 	 	7
205 - 789	 	 	6
3318 - 790	 	 	12
4464 - 791	 	 	9
2217 - 792	 	 	8
616 - 793	 	 	42
1589 - 794	 	 	10
4819 - 795	 	 	2
3218 - 796	 	 	16
1859 - 797	 	 	4
1255 - 798	 	 	36
3082 - 799	 	 	7
4634 - 800	 	 	18
1606 - 801	 	 	7
1011 - 802	 	 	19
1749 - 803	 	 	20
2529 - 804	 	 	29
4133 - 805	 	 	3
3273 - 806	 	 	23
3995 - 807	 	 	8
4589 - 808	 	 	12
823 - 809	 	 	13
869 - 810	 	 	11
618 - 811	 	 	26
3518 - 812	 	 	18
142 - 813	 	 	8
3521 - 814	 	 	20
1717 - 815	 	 	31
3014 - 816	 	 	11
2486 - 817	 	 	16
874 - 818	 	 	9
87 - 819	 	 	10
1029 - 820	 	 	14
1957 - 821	 	 	45
1918 - 822	 	 	31
13 - 823	 	 	5
572 - 824	 	 	11
889 - 825	 	 	23
2121 - 826	 	 	18
2979 - 827	 	 	11
3246 - 828	 	 	4
2838 - 829	 	 	23
3550 - 830	 	 	14
1408 - 831	 	 	1
2188 - 832	 	 	8
2469 - 833	 	 	17
4096 - 834	 	 	9
3247 - 835	 	 	19
4904 - 836	 	 	11
588 - 837	 	 	16
576 - 838	 	 	57
4190 - 839	 	 	7
1928 - 840	 	 	2
4128 - 841	 	 	8
1514 - 842	 	 	10
1595 - 843	 	 	1
3028 - 844	 	 	32
40 - 845	 	 	6
4234 - 846	 	 	23
2853 - 847	 	 	1
4242 - 848	 	 	50
2166 - 849	 	 	31
2875 - 850	 	 	4
751 - 851	 	 	19
3424 - 852	 	 	9
3797 - 853	 	 	4
3008 - 854	 	 	7
132 - 855	 	 	2
1027 - 856	 	 	10
787 - 857	 	 	14
431 - 858	 	 	17
2741 - 859	 	 	8
1156 - 860	 	 	5
1736 - 861	 	 	1
455 - 862	 	 	13
3363 - 863	 	 	9
505 - 864	 	 	4
3671 - 865	 	 	23
3752 - 866	 	 	14
3326 - 867	 	 	1
3001 - 868	 	 	23
2423 - 869	 	 	9
1024 - 870	 	 	10
468 - 871	 	 	25
3534 - 872	 	 	36
759 - 873	 	 	3
4871 - 874	 	 	17
1476 - 875	 	 	12
2364 - 876	 	 	2
3928 - 877	 	 	21
4523 - 878	 	 	17
2645 - 879	 	 	2
4591 - 880	 	 	2
106 - 881	 	 	22
899 - 882	 	 	13
1620 - 883	 	 	27
851 - 884	 	 	6
1898 - 885	 	 	7
927 - 886	 	 	41
4446 - 887	 	 	9
3535 - 888	 	 	18
1370 - 889	 	 	17
852 - 890	 	 	20
4913 - 891	 	 	7
1124 - 892	 	 	39
2289 - 893	 	 	9
3370 - 894	 	 	6
3606 - 895	 	 	32
4771 - 896	 	 	15
2412 - 897	 	 	37
3975 - 898	 	 	46
2358 - 899	 	 	16
2307 - 900	 	 	4
1370 - 901	 	 	7
3464 - 902	 	 	17
3293 - 903	 	 	14
4609 - 904	 	 	9
4494 - 905	 	 	6
2180 - 906	 	 	8
1735 - 907	 	 	22
611 - 908	 	 	27
3928 - 909	 	 	14
2811 - 910	 	 	7
1699 - 911	 	 	4
2304 - 912	 	 	26
1808 - 913	 	 	7
4802 - 914	 	 	5
3963 - 915	 	 	9
4962 - 916	 	 	14
4760 - 917	 	 	1
2707 - 918	 	 	23
2709 - 919	 	 	5
2938 - 920	 	 	48
524 - 921	 	 	29
4264 - 922	 	 	20
1325 - 923	 	 	16
3530 - 924	 	 	16
4123 - 925	 	 	13
22 - 926	 	 	16
4575 - 927	 	 	9
4271 - 928	 	 	20
4375 - 929	 	 	14
3419 - 930	 	 	6
1127 - 931	 	 	19
1749 - 932	 	 	9
1739 - 933	 	 	8
4991 - 934	 	 	15
1337 - 935	 	 	16
532 - 936	 	 	16
3441 - 937	 	 	11
3433 - 938	 	 	25
4520 - 939	 	 	23
4163 - 940	 	 	26
3119 - 941	 	 	41
4089 - 942	 	 	5
4465 - 943	 	 	7
1377 - 944	 	 	2
4149 - 945	 	 	38
1673 - 946	 	 	7
1562 - 947	 	 	3
1501 - 948	 	 	25
2330 - 949	 	 	32
4030 - 950	 	 	10
856 - 951	 	 	29
1057 - 952	 	 	28
1207 - 953	 	 	22
4555 - 954	 	 	14
3672 - 955	 	 	4
678 - 956	 	 	13
2304 - 957	 	 	17
2721 - 958	 	 	13
4723 - 959	 	 	6
3369 - 960	 	 	5
2657 - 961	 	 	24
4301 - 962	 	 	15
2934 - 963	 	 	19
4287 - 964	 	 	28
4575 - 965	 	 	28
2130 - 966	 	 	3
3514 - 967	 	 	11
3177 - 968	 	 	14
4284 - 969	 	 	16
1911 - 970	 	 	13
2320 - 971	 	 	19
4094 - 972	 	 	13
2106 - 973	 	 	14
4718 - 974	 	 	12
2655 - 975	 	 	11
3881 - 976	 	 	18
2027 - 977	 	 	21
3029 - 978	 	 	28
1841 - 979	 	 	7
1654 - 980	 	 	11
2637 - 981	 	 	2
3812 - 982	 	 	25
2516 - 983	 	 	10
2694 - 984	 	 	3
1741 - 985	 	 	14
636 - 986	 	 	67
1144 - 987	 	 	3
21 - 988	 	 	47
1242 - 989	 	 	4
4321 - 990	 	 	6
2571 - 991	 	 	4
4403 - 992	 	 	6
168 - 993	 	 	23
3540 - 994	 	 	23
297 - 995	 	 	28
105 - 996	 	 	5
58 - 997	 	 	6
2972 - 998	 	 	2
4498 - 999	 	 	22
1848 - 1000	 	 	11
3305 - 1001	 	 	6
1345 - 1002	 	 	8
830 - 1003	 	 	6
556 - 1004	 	 	9
45 - 1005	 	 	13
4147 - 1006	 	 	9
2554 - 1007	 	 	13
216 - 1008	 	 	2
1172 - 1009	 	 	34
523 - 1010	 	 	5
784 - 1011	 	 	29
2374 - 1012	 	 	11
4444 - 1013	 	 	31
2985 - 1014	 	 	9
4400 - 1015	 	 	21
2994 - 1016	 	 	14
2475 - 1017	 	 	20
1301 - 1018	 	 	13
2042 - 1019	 	 	24
3503 - 1020	 	 	7
3883 - 1021	 	 	7
304 - 1022	 	 	4
2124 - 1023	 	 	4
4497 - 1024	 	 	11
32 - 1025	 	 	24
1455 - 1026	 	 	6
4906 - 1027	 	 	19
2395 - 1028	 	 	21
496 - 1029	 	 	15
2386 - 1030	 	 	32
3884 - 1031	 	 	5
1451 - 1032	 	 	11
1724 - 1033	 	 	11
1198 - 1034	 	 	8
2546 - 1035	 	 	8
1832 - 1036	 	 	8
3977 - 1037	 	 	8
761 - 1038	 	 	1
4819 - 1039	 	 	19
474 - 1040	 	 	15
3077 - 1041	 	 	13
862 - 1042	 	 	28
2963 - 1043	 	 	8
536 - 1044	 	 	13
4382 - 1045	 	 	12
4002 - 1046	 	 	10
2826 - 1047	 	 	5
4842 - 1048	 	 	17
2277 - 1049	 	 	16
1973 - 1050	 	 	9
857 - 1051	 	 	15
4280 - 1052	 	 	1
553 - 1053	 	 	9
141 - 1054	 	 	25
2791 - 1055	 	 	7
2878 - 1056	 	 	13
543 - 1057	 	 	22
4577 - 1058	 	 	11
3360 - 1059	 	 	18
1160 - 1060	 	 	2
2900 - 1061	 	 	1
30 - 1062	 	 	12
1705 - 1063	 	 	11
4186 - 1064	 	 	19
513 - 1065	 	 	7
3202 - 1066	 	 	14
1955 - 1067	 	 	8
1311 - 1068	 	 	2
3186 - 1069	 	 	27
4794 - 1070	 	 	3
3215 - 1071	 	 	22
328 - 1072	 	 	6
3752 - 1073	 	 	38
2356 - 1074	 	 	7
4141 - 1075	 	 	1
475 - 1076	 	 	13
3830 - 1077	 	 	11
3873 - 1078	 	 	27
3736 - 1079	 	 	19
2460 - 1080	 	 	6
3159 - 1081	 	 	21
1434 - 1082	 	 	40
2834 - 1083	 	 	12
1655 - 1084	 	 	3
